#|frequency	|flux	|
103.547354287	0.00195965403691	
103.545400951	0.000645820400678	
103.543447615	0.000928340130486	
103.541494279	-0.000288872979581	
103.539540943	0.00163611478638	
103.537587607	0.00097234576242	
103.535634271	0.00064448901685	
103.533680935	-0.000667112064548	
103.531727599	-0.00106242345646	
103.529774263	-0.00036217935849	
103.527820927	-8.9125802333e-05	
103.525867591	-0.000569689203985	
103.523914255	-0.000964582606684	
103.521960919	-0.000794859835878	
103.520007583	-0.000227787386393	
103.518054247	-9.67920641415e-05	
103.516100911	0.000544444774278	
103.514147575	-0.000619619211648	
103.512194239	-0.00038031488657	
103.510240903	-0.000678717740811	
103.508287567	-0.000219259192818	
103.506334231	0.000916276825592	
103.504380895	0.000756163033657	
103.502427559	-0.000187290614122	
103.500474223	-0.00042049237527	
103.498520887	0.000454323919257	
103.496567551	0.00121348095126	
103.494614215	0.000261524372036	
103.492660879	0.00121701415628	
103.490707543	0.00201224652119	
103.488754207	0.00166557310149	
103.486800871	0.000677840318531	
103.484847535	0.000887523929123	
103.482894199	2.32151687669e-05	
103.480940863	0.000296079029795	
103.478987527	0.00027913087979	
103.477034191	-0.00013305619359	
103.475080855	0.000598979415372	
103.473127519	-0.000109039705421	
103.471174183	-0.000727820210159	
103.469220847	-0.000835681217723	
103.467267511	-0.00124663335737	
103.465314175	-0.0012444058666	
103.463360839	-0.000886714842636	
103.461407503	-0.00105328881182	
103.459454167	-0.000650781963486	
103.457500831	0.00036873886711	
103.455547495	-0.000565637426917	
103.453594159	0.000826392846648	
103.451640823	-0.000534882361535	
103.449687487	-0.000156583890202	
103.447734151	-0.00012910006626	
103.445780815	0.000246219860855	
103.443827479	-0.000202773429919	
103.441874143	-0.00135899276938	
103.439920807	-0.000892375363037	
103.437967471	7.36549845897e-05	
103.436014135	-0.000421282689786	
103.434060799	-0.000435301131802	
103.432107463	0.000171560241142	
103.430154127	-0.000534002669156	
103.428200791	0.000171639214386	
103.426247455	-0.0007992554456	
103.424294119	0.000383638893254	
103.422340783	0.000165682431543	
103.420387447	0.000151646789163	
103.418434111	-0.000416614726419	
103.416480775	-0.000400931894546	
103.414527439	-4.21673721576e-05	
103.412574103	-0.000621809856966	
103.410620767	-0.000796827953309	
103.408667431	-0.000844152760692	
103.406714095	-0.000740247778594	
103.404760759	-0.00019746934413	
103.402807423	-0.00037788649206	
103.400854087	-0.00145783054177	
103.398900751	-0.0014873550972	
103.396947415	-0.000753195898142	
103.394994079	-0.00048790127039	
103.393040743	-0.000207803677768	
103.391087407	-0.000482450821437	
103.389134071	-0.000509433797561	
103.387180735	-0.000158829789143	
103.385227399	7.70914921304e-05	
103.383274063	2.18240074901e-05	
103.381320727	-2.69421143457e-05	
103.379367391	0.000126067636302	
103.377414055	-0.000154466208187	
103.375460719	-0.000343443243764	
103.373507383	-0.000512519734912	
103.371554047	0.000977769494057	
103.369600711	0.000178965943633	
103.367647375	0.000677551026456	
103.365694039	-0.000397244468331	
103.363740703	-0.000432941218605	
103.361787367	-0.000354925432475	
103.359834031	-0.00023449434957	
103.357880695	0.000163418852026	
103.355927359	8.02963841124e-05	
103.353974023	0.000290144234896	
103.352020687	-0.000709035724867	
103.350067351	0.000742728705518	
103.348114015	0.0004402816121	
103.346160679	-0.000173306805664	
103.344207343	-0.000202904615435	
103.342254007	-0.00156306580175	
103.340300671	-0.000520937726833	
103.338347335	-0.000535330851562	
103.336393999	-0.00141872046515	
103.334440663	0.000140074902447	
103.332487327	0.000853277160786	
103.330533991	-0.000310068106046	
103.328580655	1.54645476869e-05	
103.326627319	-0.000356492906576	
103.324673983	0.000260515051195	
103.322720647	-5.67616152694e-05	
103.320767311	-0.000354044314008	
103.318813975	0.000152947104652	
103.316860639	0.000504062278196	
103.314907303	0.00032019612263	
103.312953967	-0.000416516733821	
103.311000631	0.000837591127492	
103.309047295	0.000630090886261	
103.307093959	-5.58059291507e-05	
103.305140623	0.000755459535867	
103.303187287	0.000467275822302	
103.301233951	0.000518188870046	
103.299280615	-0.000633665069472	
103.297327279	0.000222851347644	
103.295373943	0.000869305629749	
103.293420607	0.0010330787627	
103.291467271	3.08321796183e-05	
103.289513935	0.0015440833522	
103.287560599	0.000863407098223	
103.285607263	0.00034206698183	
103.283653927	0.000785983749665	
103.281700591	0.000436242175056	
103.279747255	0.000653233728372	
103.277793919	7.25477511878e-05	
103.275840583	0.000942548678722	
103.273887247	0.000997416325845	
103.271933911	0.000173839027411	
103.269980575	0.000372316077119	
103.268027239	-0.000672941561788	
103.266073903	0.000277421699138	
103.264120567	-0.00141624908429	
103.262167231	0.00025524571538	
103.260213895	-0.000122357028886	
103.258260559	0.000241894114879	
103.256307223	0.000624546664767	
103.254353887	-0.000603761931416	
103.252400551	8.83973407326e-05	
103.250447215	6.18560152361e-05	
103.248493879	-3.03288525174e-05	
103.246540543	0.000196387220058	
103.244587207	0.000463851960376	
103.242633871	0.000432925036876	
103.240680535	-0.000274648977211	
103.238727199	0.00100648705848	
103.236773863	0.00168019125704	
103.234820527	0.000705459853634	
103.232867191	0.00103467458393	
103.230913855	-2.59228618233e-05	
103.228960519	0.00108665286098	
103.227007183	0.000367503758753	
103.225053847	0.000468654790893	
103.223100511	0.000285759189865	
103.221147175	0.000756414665375	
103.219193839	-0.000428741070209	
103.217240503	0.000372323556803	
103.215287167	-0.000533967860974	
103.213333831	-0.000667144777253	
